id,scientificName,year,month,day,county,Latitude,Longitude,genus,species,family
UC1018206,Antirrhinum multiflorum,1952,5,5,Los Angeles,34.130642,-118.48183,Antirrhinum,Sairocarpus multiflorus,Plantaginaceae
UC1564721,Penstemon thurberi,1984,9,14,San Diego,33.050835,-116.4175,Penstemon,Penstemon thurberi,Plantaginaceae
UCR196851,Linum lewisii var. lewisii,2008,6,17,Amador,38.55861,-120.27694,Linum,Linum lewisii,Linaceae
UC112980,Clarkia rubicunda,1908,7,1,San Francisco,37.7198,-122.49132,Clarkia,Clarkia rubicunda,Onagraceae
UCR196850,Mimulus tilingii,2008,6,17,Amador,38.55861,-120.27694,Mimulus,Mimulus tilingii,Phrymaceae
JEPS86538,Pectocarya setosa,1988,4,7,San Bernardino,35.1855,-115.5098,Pectocarya,Pectocarya setosa,Boraginaceae
UC120393,Arenaria macradenia var. macradenia,1902,5,27,San Bernardino,34.9636,-115.5103,Arenaria,Arenaria macradenia,Caryophyllaceae
UC1928639,Senecio linearifolius var. linearifolius,2003,7,7,Orange,33.633333,-117.825,Senecio,Senecio linariifolius,Asteraceae
UCR196853,Penstemon laetus subsp. laetus,2008,6,5,El Dorado,38.78556,-120.6225,Penstemon,Penstemon laetus,Plantaginaceae
JEPS86539,Senna armata,1988,5,26,San Bernardino,35.1855,-115.5098,Senna,Senna armata,Fabaceae
UC112982,Clarkia biloba,1908,6,1,El Dorado,38.71266,-121.03336,Clarkia,Clarkia biloba,Onagraceae
UC1442839,Phacelia cookei,1968,7,1,Siskiyou,41.53378,-122.24743,Phacelia,Phacelia cookei,Hydrophyllaceae
UC1018202,Keckiella antirrhinoides,1952,4,5,Orange,33.87,-117.73,Keckiella,Keckiella antirrhinoides,Plantaginaceae
UC112985,Clarkia unguiculata,1908,5,30,El Dorado,38.70681,-121.07556,Clarkia,Clarkia unguiculata,Onagraceae
UC473547,Grindelia hirsutula,1930,6,8,Sonoma,38.35075,-122.95544,Grindelia,Grindelia hirsutula,Asteraceae
UC551759,Eriophorum crinigerum,1935,7,25,Mariposa,37.7394,-119.2706,Eriophorum,Eriophorum crinigerum,Cyperaceae
UCR184045,Plagiobothrys arizonicus,2007,4,19,Los Angeles,34.80417,-118.74917,Plagiobothrys,Plagiobothrys arizonicus,Boraginaceae
UCR196855,Triteleia ixioides subsp. anilina,2008,6,17,Amador,38.55861,-120.27694,Triteleia,Triteleia ixioides,Asparagaceae
UC1018203,Mimulus aurantiacus var. puniceus,1952,3,16,Riverside,33.6521,-117.3796,Mimulus,Mimulus aurantiacus,Phrymaceae
UC473546,Salix breweri,1931,4,4,Lake,38.76667,-122.60361,Salix,Salix breweri,Salicaceae
UC551758,Carex spectabilis,1935,7,25,Mariposa,37.7394,-119.2706,Carex,Carex spectabilis,Cyperaceae
UCR196854,Calochortus albus,2008,6,5,El Dorado,38.78556,-120.6225,Calochortus,Calochortus albus,Liliaceae
UC112987,Clarkia amoena subsp. amoena,1908,6,28,Sonoma,38.36417,-122.52306,Clarkia,Clarkia amoena,Onagraceae
UC1564727,Polygonum aviculare subsp. aviculare,1989,7,21,Butte,40.1066,-121.4898,Polygonum,Polygonum aviculare,Polygonaceae
UCR184047,Rigiopappus leptocladus,2007,4,19,Los Angeles,34.80417,-118.74917,Rigiopappus,Rigiopappus leptocladus,Asteraceae
UCR196857,Grindelia squarrosa var. serrulata,2008,7,22,Alpine,38.80778,-119.77778,Grindelia,Grindelia squarrosa,Asteraceae
UC1018201,Ribes malvaceum,1952,3,15,Los Angeles,34.289,-117.6464,Ribes,Ribes malvaceum,Grossulariaceae
UC112986,Clarkia amoena subsp. amoena,1908,6,28,Sonoma,38.36417,-122.52306,Clarkia,Clarkia amoena,Onagraceae
UCR184046,Hordeum marinum,2007,4,19,Los Angeles,34.80417,-118.74917,Hordeum,Hordeum marinum,Poaceae
UCR196856,Equisetum laevigatum,2008,7,22,Alpine,38.78417,-119.81167,Equisetum,Equisetum laevigatum,Equisetaceae
JEPS86532,Phacelia minor,1988,4,1,Riverside,33.6519,-117.3898,Phacelia,Phacelia minor,Hydrophyllaceae
UC118297,Ranunculus aquatilis var. hispidulus,1893,7,7,Mendocino,39.404358,-123.35064,Ranunculus,Ranunculus aquatilis,Ranunculaceae
UC1564729,Eleocharis bella,1989,7,21,Butte,40.1066,-121.4898,Eleocharis,Eleocharis bella,Cyperaceae
UC450953,Gilia tricolor subsp. diffusa,1931,4,3,Kern,35.13222,-118.44806,Gilia,Gilia tricolor,Polemoniaceae
UCR184049,Linanthus parviflorus,2007,4,19,Los Angeles,34.80417,-118.74917,Linanthus,Linanthus parviflorus,Polemoniaceae
UCR196859,Madia gracilis,2008,6,3,El Dorado,38.7625,-120.56,Madia,Madia gracilis,Asteraceae
JEPS86533,Emmenanthe penduliflora,1988,4,1,Riverside,33.6519,-117.3898,Emmenanthe,Emmenanthe penduliflora,Hydrophyllaceae
UC1564728,Juncus bufonius var. occidentalis,1989,7,21,Butte,40.1066,-121.4898,Juncus,Juncus amuricus,Juncaceae
UC450952,Dicentra chrysantha,1931,4,22,Los Angeles,34.42694,-118.57444,Dicentra,Ehrendorferia chrysantha,Papaveraceae
UC551754,Carex congdonii,1935,7,25,Mariposa,37.7394,-119.2706,Carex,Carex congdonii,Cyperaceae
UCR184048,Linanthus liniflorus,2007,4,19,Los Angeles,34.80417,-118.74917,Linanthus,Linanthus liniflorus,Polemoniaceae
UCR196858,Dichelostemma multiflorum,2008,6,5,El Dorado,38.78556,-120.6225,Dichelostemma,Dichelostemma multiflorum,Asparagaceae
JEPS86530,Mimulus aurantiacus var. puniceus,1988,4,1,Riverside,33.6519,-117.3898,Mimulus,Mimulus aurantiacus,Phrymaceae
UC186894,Eschscholzia caespitosa,1886,5,3,Solano,38.35667,-121.9867,Eschscholzia,Eschscholzia caespitosa,Papaveraceae
UC450951,Rhamnus crocea,1931,3,10,Los Angeles,34.234272,-118.3133,Rhamnus,Rhamnus crocea,Rhamnaceae
UC473549,Grindelia hirsutula,1930,7,13,Sonoma,38.684742,-123.4254,Grindelia,Grindelia hirsutula,Asteraceae
JEPS86531,Scrophularia californica subsp. floribunda,1988,4,1,Riverside,33.6519,-117.3898,Scrophularia,Scrophularia californica,Scrophulariaceae
UC118294,Ranunculus aquatilis var. hispidulus,1893,6,5,Mendocino,39.321255,-123.10287,Ranunculus,Ranunculus aquatilis,Ranunculaceae
UC186895,Eschscholzia caespitosa,1888,8,1,Nevada,39.3445,-120.1725,Eschscholzia,Eschscholzia caespitosa,Papaveraceae
UC450950,Cryptantha intermedia,1931,3,1,Los Angeles,34.234272,-118.3133,Cryptantha,Cryptantha intermedia,Boraginaceae
UC473548,Grindelia hirsutula,1930,9,14,Mendocino,39.49924,-123.773796,Grindelia,Grindelia hirsutula,Asteraceae
JEPS86536,Eriophyllum wallacei,1988,4,7,San Bernardino,35.1758,-115.5073,Eriophyllum,Eriophyllum wallacei,Asteraceae
UC551751,Bolandra californica,1935,7,29,Mariposa,37.6442,-119.3264,Bolandra,Bolandra californica,Saxifragaceae
JEPS86537,Camissonia campestris subsp. campestris,1988,4,7,San Bernardino,35.1855,-115.5098,Camissonia,Camissonia campestris,Onagraceae
UC450956,Pseudognaphalium californicum,1931,4,17,Los Angeles,34.234272,-118.3133,Pseudognaphalium,Pseudognaphalium californicum,Asteraceae
UC551750,Ribes lasianthum,1935,7,22,Mariposa,37.8507,-119.289,Ribes,Ribes lasianthum,Grossulariaceae
JEPS86534,Cryptantha pterocarya,1988,4,7,San Bernardino,35.1855,-115.5098,Cryptantha,Cryptantha pterocarya,Boraginaceae
UC186890,Eschscholzia rhombipetala,1888,3,25,Contra Costa,37.8673,-121.6379,Eschscholzia,Eschscholzia rhombipetala,Papaveraceae
UC450955,Pseudognaphalium biolettii,1931,4,1,Los Angeles,34.234272,-118.3133,Pseudognaphalium,Pseudognaphalium biolettii,Asteraceae
UC551753,Ribes montigenum,1935,7,25,Mariposa,37.7394,-119.2706,Ribes,Ribes montigenum,Grossulariaceae
UC450954,Chaenactis glabriuscula var. glabriuscula,1931,3,1,Orange,33.54,-117.77,Chaenactis,Chaenactis glabriuscula,Asteraceae
UC551752,Saxifraga rivularis,1935,8,1,Madera,37.725174,-119.25676,Saxifraga,Saxifraga rivularis,Saxifragaceae
JEPS16887,Venegasia carpesioides,1956,6,17,Los Angeles,34.080692,-118.47482,Venegasia,Venegasia carpesioides,Asteraceae
JEPS54517,Astragalus asymmetricus,1928,8,18,Fresno,36.75361,-120.38056,Astragalus,Astragalus asymmetricus,Fabaceae
UC1212062,Cynoglossum grande,1950,4,1,Santa Clara,37.3409,-121.6672,Cynoglossum,Cynoglossum grande,Boraginaceae
UC691242,Vulpia microstachys var. pauciflora,1935,4,17,Contra Costa,37.881344,-121.96714,Vulpia,Vulpia microstachys,Poaceae
UC764722,Trifolium willdenovii,1937,5,6,San Joaquin,37.882504,-121.16318,Trifolium,Trifolium willdenovii,Fabaceae
UCR64628,Cryptantha clevelandii var. florosa,1930,10,5,Santa Barbara,34.778,-120.036,Cryptantha,Cryptantha clevelandii,Boraginaceae
JEPS16886,Encelia californica,1956,6,17,Los Angeles,34.080692,-118.47482,Encelia,Encelia californica,Asteraceae
JEPS54516,Astragalus asymmetricus,1928,5,14,Merced,37.055954,-120.54848,Astragalus,Astragalus asymmetricus,Fabaceae
UC1212063,Cryptantha incana,1950,7,4,Tulare,36.671436,-118.57269,Cryptantha,Cryptantha incana,Boraginaceae
UC691243,Vulpia microstachys var. pauciflora,1931,5,7,Contra Costa,37.878914,-121.90074,Vulpia,Vulpia microstachys,Poaceae
UC764723,Trifolium gracilentum,1937,4,11,Kings,35.92227,-120.03044,Trifolium,Trifolium gracilentum,Fabaceae
UCR64629,Cryptantha intermedia,1935,4,18,Riverside,33.79833,-117.37639,Cryptantha,Cryptantha intermedia,Boraginaceae
JEPS16885,Bidens pilosa,1956,6,17,Los Angeles,34.05611,-118.42972,Bidens,Bidens pilosa,Asteraceae
JEPS54515,Astragalus asymmetricus,1931,6,4,San Luis Obispo,35.724,-120.296,Astragalus,Astragalus asymmetricus,Fabaceae
UC1212060,Cryptantha simulans,1950,7,5,Fresno,36.79139,-118.595,Cryptantha,Cryptantha simulans,Boraginaceae
UC691240,Vulpia microstachys var. pauciflora,1933,5,3,Contra Costa,37.87656,-121.90685,Vulpia,Vulpia microstachys,Poaceae
UC764720,Trifolium depauperatum var. amplectens,1937,4,10,Madera,37.084984,-120.20766,Trifolium,Trifolium depauperatum,Fabaceae
JEPS16884,Malacothrix saxatilis var. tenuifolia,1956,6,17,Los Angeles,34.091393,-118.42624,Malacothrix,Malacothrix saxatilis,Asteraceae
UC1212061,Cryptantha muricata,1950,4,26,Colusa,39.159813,-122.46996,Cryptantha,Cryptantha muricata,Boraginaceae
